

 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections
,00,Site Clearance of Hazardous or Obstructing Existing Conditions Prior to Prime Contract,381.50,381.50,381.50,381.50,381.50
 ,00.001,Envir. Site Conditions,0.00,0.00,0.00,0.00,0.00
 ,00.002,Hazardous Matrls. Removal,381.50,381.50,381.50,381.50,381.50
 ,00.003,Relocation Removal,0.00,0.00,0.00,0.00,0.00
 ,00.004,Demolition,0.00,0.00,0.00,0.00,0.00
 ,00.005,Temp. Items,0.00,0.00,0.00,0.00,0.00
 ,00.099,Other Site Clearance,0.00,0.00,0.00,0.00,0.00
,01,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"166,295.06","166,295.06","166,295.06","166,295.06","166,295.06"
 ,01.101,Prime General Contractor,"162,590.06","162,590.06","162,590.06","162,590.06","162,590.06"
 ,01.102,Construction Delay,0.00,0.00,0.00,0.00,0.00
 ,01.103,Change Requests Approved,0.00,0.00,0.00,0.00,0.00
 ,01.104,Change Requests Estimated,0.00,0.00,0.00,0.00,0.00
 ,01.105,Claims,0.00,0.00,0.00,0.00,0.00
 ,01.106,PM's Pending List,0.00,0.00,0.00,0.00,0.00
 ,01.107,Other/Specialty Contractor,0.00,0.00,0.00,0.00,0.00
 ,01.108,PPS,290.57,290.57,290.57,290.57,290.57
 ,01.109,Telecommunications,0.00,0.00,0.00,0.00,0.00
 ,01.110,Data Processing,0.00,0.00,0.00,0.00,0.00
 ,01.111,Lock Keying,0.00,0.00,0.00,0.00,0.00
 ,01.112,Builders Risk Insurance,0.00,0.00,0.00,0.00,0.00
 ,01.113,Group 1 Equip. Owner Purchase,0.00,0.00,0.00,0.00,0.00
 ,01.114,Security Alarms,0.00,0.00,0.00,0.00,0.00
 ,01.199,Other Building Construction,"3,414.43","3,414.43","3,414.43","3,414.43","3,414.43"
,02,"Exterior Utility Work, Outside Five Feet of Building Perimeter",0.00,0.00,0.00,0.00,0.00
 ,02.201,Campus or Specialty Contract,0.00,0.00,0.00,0.00,0.00
 ,02.299,Other Site Utilities,0.00,0.00,0.00,0.00,0.00
,03,"Group 2 & 3 Furnishings & Equipment, Owner Furnished Owner Installed (OFOI)",0.00,0.00,0.00,0.00,0.00
 ,03.301,Moveable Equip. & Furnishing,0.00,0.00,0.00,0.00,0.00
 ,03.302,Material Mgmt. Services,0.00,0.00,0.00,0.00,0.00
 ,03.303,Moving Expense,0.00,0.00,0.00,0.00,0.00
 ,03.304,Heavy Custodial Equip.,0.00,0.00,0.00,0.00,0.00
 ,03.305,Refuse Collection Equip.,0.00,0.00,0.00,0.00,0.00
 ,03.306,"House Cleaning, Sterile Cleaning",0.00,0.00,0.00,0.00,0.00
 ,03.399,Other Furnishing and Equip.,0.00,0.00,0.00,0.00,0.00
,04,"Site Development, Outside Five Feet of Building Perimeter",0.00,0.00,0.00,0.00,0.00
 ,04.401,Hardscape,0.00,0.00,0.00,0.00,0.00
 ,04.402,Landscape,0.00,0.00,0.00,0.00,0.00
 ,04.403,Site Lighting,0.00,0.00,0.00,0.00,0.00
 ,04.404,Signage,0.00,0.00,0.00,0.00,0.00
 ,04.499,Other Site Development,0.00,0.00,0.00,0.00,0.00
,05,External Design Consultant Fees,"225,189.16","225,189.16","225,189.16","225,189.16","225,189.16"
 ,05.501,Exec. Architect/Engineer,"76,868.76","76,868.76","76,868.76","76,868.76","76,868.76"
 ,05.502,Interior/Graphic Designer,0.00,0.00,0.00,0.00,0.00
 ,05.503,Soils/Spec. Foundation,"42,928.45","42,928.45","42,928.45","42,928.45","42,928.45"
 ,05.504,Soils/Foundation Contingency,0.00,0.00,0.00,0.00,0.00
 ,05.505,Unknown Soils Cond. Contingency,"105,391.95","105,391.95","105,391.95","105,391.95","105,391.95"
 ,05.506,Proj. Mgmt Consultants,0.00,0.00,0.00,0.00,0.00
 ,05.507,Const. Mgmt/Scheduling,0.00,0.00,0.00,0.00,0.00
 ,05.508,Code/Independent Review,0.00,0.00,0.00,0.00,0.00
 ,05.509,Independent Cost Review,0.00,0.00,0.00,0.00,0.00
 ,05.510,Photography,0.00,0.00,0.00,0.00,0.00
 ,05.511,Exec. Arch./Eng. Reimbursables,0.00,0.00,0.00,0.00,0.00
 ,05.512,Add. Services/DCA's,0.00,0.00,0.00,0.00,0.00
 ,05.599,Other Fees,0.00,0.00,0.00,0.00,0.00
,06,Internal FD&C Recharge Services,"10,387.42","10,387.42","10,387.42","10,387.42","10,387.42"
 ,06.601,Administration,0.00,0.00,0.00,0.00,0.00
 ,06.602,Project Management,0.00,0.00,0.00,0.00,0.00
 ,06.603,Eng./Landscape/Civil,"1,850.00","1,850.00","1,850.00","1,850.00","1,850.00"
 ,06.604,Contract Administration,0.00,0.00,0.00,0.00,0.00
 ,06.605,Construction Inspection,"8,138.00","8,138.00","8,138.00","8,138.00","8,138.00"
 ,06.606,CP&B/FP&M,0.00,0.00,0.00,0.00,0.00
 ,06.699,Other FDC,399.42,399.42,399.42,399.42,399.42
,07,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","10,669.37","10,669.37","10,669.37","10,669.37","10,669.37"
 ,07.701,Advertising,0.00,0.00,0.00,0.00,0.00
 ,07.702,Site and Topo Surveys,0.00,0.00,0.00,0.00,0.00
 ,07.703,Soils/Geol./Found./Hydro,"10,662.12","10,662.12","10,662.12","10,662.12","10,662.12"
 ,07.704,Material/Workmanship Test,0.00,0.00,0.00,0.00,0.00
 ,07.705,Air Balance Testing,0.00,0.00,0.00,0.00,0.00
 ,07.706,Medical Gas Testing,0.00,0.00,0.00,0.00,0.00
 ,07.707,Plan/Specs. Repro. Costs,0.00,0.00,0.00,0.00,0.00
 ,07.708,Mail/Fed.X./Delivery,7.25,7.25,7.25,7.25,7.25
 ,07.799,"Other Surveys, Tests, Plans",0.00,0.00,0.00,0.00,0.00
,08,Special Cost Items,0.00,0.00,0.00,0.00,0.00
 ,08.801,Loan Finance/Const. Interest,0.00,0.00,0.00,0.00,0.00
 ,08.802,DPP/Predesign Study,0.00,0.00,0.00,0.00,0.00
 ,08.803,EIR Services/Related Costs,0.00,0.00,0.00,0.00,0.00
 ,08.804,Coastal Commission Review,0.00,0.00,0.00,0.00,0.00
 ,08.805,Air Quality Testing/Permit,0.00,0.00,0.00,0.00,0.00
 ,08.806,Wind Tunnel Tests,0.00,0.00,0.00,0.00,0.00
 ,08.807,Value Eng./Const. Review,0.00,0.00,0.00,0.00,0.00
 ,08.808,Plan Check Fees,0.00,0.00,0.00,0.00,0.00
 ,08.809,OSHPD,0.00,0.00,0.00,0.00,0.00
 ,08.810,Environment Mitigation,0.00,0.00,0.00,0.00,0.00
 ,08.811,Hazardous Material Consult.,0.00,0.00,0.00,0.00,0.00
 ,08.812,Special Design Consultants,0.00,0.00,0.00,0.00,0.00
 ,08.813,Indep. Stru./Seismic Review,0.00,0.00,0.00,0.00,0.00
 ,08.814,In-house Staff/Special Items,0.00,0.00,0.00,0.00,0.00
 ,08.815,Legal Fees,0.00,0.00,0.00,0.00,0.00
 ,08.816,Interiors,0.00,0.00,0.00,0.00,0.00
 ,08.899,Other Special Costs,0.00,0.00,0.00,0.00,0.00
,09,"Construction Contingency, Potential Unknown Factors",0.00,0.00,0.00,0.00,0.00
 ,09.999,Other Contingency,0.00,0.00,0.00,0.00,0.00
 ,"Total 
Schedule Percent Complete", ,"412,922.51","412,922.51","412,922.51","412,922.51","412,922.51"
